;cod;rec_trib_2013;rec_trib_2014;rec_trib_2015;rec_trib_2016;iptu_2013;iptu_2014;iptu_2015;iptu_2016
747;4214151;228861.77;;457499.56;528017.97;44366.33;;69668.34;81150.42
748;2504801;915805.4;917579.08;871545.92;981682.73;97968.8;86725.23;73576.17;72327.46
749;4304655;982148.09;1447822.33;1106050.65;1368367.08;99088.44;108218.8;117697.14;130842.16
750;4210035;1327892.36;1528576.48;1961370.93;2192339.58;222562.5;240458.42;345055.5;383490.04
751;3155702;2057442.4;;3921671.03;3066301.9;138228.85;;228380.9;258625.38
752;3538105;4600090.67;5882732.18;6091514.45;6075879.91;1647891.09;2830840.94;3024688.4;3372815.06
753;2601201;10349061.81;13167240.68;11525465.63;12846710.62;1134022.06;1147434.36;1261666.63;1367780.69
754;3102407;22814171.03;23149705.03;9105911.06;2837535.48;3122.61;4383.45;6936.55;7979.74
755;5212501;41499777.61;44689503.35;47660605.25;47172061.03;9303238.39;8901475.43;17544116.07;10208510.31
756;4116703;1955721.27;2466431.34;2755967.56;2847629.67;578934.96;628692.16;654853.33;749667.51
757;4210803;1135221.79;1611305.03;1907347.81;2166878.04;243171.68;340652.36;354716.09;398682.27
758;3507209;192767.47;257226.17;248984.06;222487.27;15694;17172.3;15839.93;16814.65
759;2614105;3259696.77;6125123.73;7884473.37;10745146.62;24973.24;170726.09;129937.61;178475.59
760;3163201;243082.71;331971.35;342087.88;333686.57;43296.05;46843.86;49947.28;55567.4
761;2405702;620738.85;728408.68;716512.18;743612.08;60271.92;73160.01;54012.75;53971.68
762;4111258;1880973.01;2085611.46;2534375.99;2991243.28;851843.18;655978.65;811444.75;956980.32
763;2923001;6822512.4;7308453.64;7061142.95;7026404.53;535000.28;1126238.78;840588.99;
764;4207304;16955202.68;23863402.93;25652836.53;;2964937.72;4302393.38;4881131.87;
765;3530300;24268255.79;34339882.79;37879069.33;35431467.35;8760869.74;16051809.94;19609021.64;15030583.74
766;2915700;279124.48;235703.13;264546.72;467114.07;23421.28;20859.98;22532.5;297.78
767;3511706;2763852.37;4013284.52;3766141.56;3972862.45;1147586.91;1246290.53;1544279.97;1699326.11
768;1301902;13341014.11;14658333.57;12314743.61;;544935.86;251723.74;187085.43;
769;3555802;1422531.93;1775034.25;1513258.21;663758.47;139319.51;388295.88;423997.29;439003.53
770;5007976;608148.86;723699.15;697528.6;618055.57;27071.75;51918.51;82728.88;69834.27
771;1400456;867782.63;1214848.21;616920.73;400267.67;;;22646.26;134928.81
772;4321352;718821.17;;756305.07;1156961.51;223742.61;;181084.01;199724.09
773;4116059;2219222.98;2646757.05;3144674.9;3743223.59;570648.4;685556.21;783800.32;914798.52
774;1716109;6722465.98;8826545.87;9339416.92;9316473.87;894148.99;989022.14;1122637.73;1212448.39
775;4315354;880310.49;1078259.04;1126605.64;1497389.92;251749.17;304562.22;309607.17;374097.92
776;2614402;448481.46;395173.74;585860.72;520835.57;28577.22;27583.62;5372.42;21775.33
777;3160959;190852.88;218127.28;243427.67;284522.59;17739.59;19843.22;22424.36;21443.74
778;4114005;3316511.83;3503445.92;4144524.68;4524569.88;554483.09;577210.57;721920.68;897597.21
779;4305871;861131.27;812248.84;813689.42;852240.2;100059.62;130825.85;161395.51;213598.78
780;4218350;950477.93;1166676.61;1008461.62;1636372.69;33987.39;39053.12;40686.27;49759.22
781;4200408;1671199.6;;1562058.05;1891306.21;197664.49;;241269.7;248872.14
782;4107157;305013.1;327243.44;456575.08;578377.88;48836.48;39696.89;36273.81;59491.43
783;4312476;1635233.85;1671335.43;1969444.71;2239151.24;557486.31;574442.82;734926.72;810808.12
784;4313425;525565.83;539287.27;564109.79;727822.26;102177.05;100610.9;137094.3;149779.51
785;3537305;23194885.74;23804789.53;25743794.38;27331250.72;9851249.27;10570618.33;11428738.3;12250537.77
786;4216008;1950466.65;2346821.2;2316888.76;2489661.44;336957.35;361930.5;376866.33;507776.61
787;2902203;807745.47;1412856.79;964674.58;954786.2;4831.28;6483.04;7547.71;7593.68
788;4302659;834939.72;969689.09;993163.68;1217689.3;239599.35;256969.03;281248.14;349070.96
789;4208450;17649120.2;22822800.33;26400945.5;26971376.95;5276679.26;5706247.25;6908151.46;6949041.35
790;1718501;309339.01;414896.15;159755.2;313287.53;902.34;829.62;1000;
791;4300646;493206.82;485236.4;374064.2;416199.27;158759.96;131048.89;143014.67;155374.06
792;4305371;275859.77;350154.58;525086.52;488763.84;51628.43;64383.02;80758.65;96099.24
793;4219507;14209650.82;;19246555.97;20816876.19;2953769.86;;3440597.85;3807714.41
794;3536703;10081252.53;11878860.28;12448659.02;14185410.49;2777815.68;3241535.53;3494601.78;4570033.44
795;3555000;26966285.24;30088763.25;32118801.43;15603389.46;11223601.84;12360312.99;13193214.23;14271450.46
796;3514502;2730898.69;3860627.55;3510745.19;3622407.81;722910.74;820087.68;952696.15;1085956.57
797;2600054;8510431.92;8735897.69;9118903.87;9552441.29;397692.67;462330.24;555792.62;720817.24
798;2202083;342186.18;481698.76;417565.48;209850.93;;;7153.24;16268.7
799;3518404;44553676.59;44186732.55;51844150.36;56800586.35;15684711.82;15545419.38;17968600.63;20411923.74
800;2800209;1603568.35;1400980.44;859686.93;950226.6;63153.93;40203.39;48746.41;30557.03
801;4303905;38720117.91;43659189.24;50268466.76;60633849.27;10979731.54;12042090.7;13234460.85;15010543.33
802;4322301;1787266.07;2092904.51;2407369.27;2606034.17;467963.23;604658.78;783391.28;845037.19
803;2906824;1316754.19;1022102.54;1075831.3;1176697.98;102599.3;25519.88;21105.35;25887.6
804;2111573;454503.51;443705.91;396783.58;917631.31;5171.82;;1635.38;1185.96
805;1505007;517797.76;536588.04;;;14448.71;15852.51;;
806;3528106;2888780.21;2844488.81;2308497.05;1938401.49;206378.25;242805.4;309315.25;369237.13
807;2101772;190738.92;291777.13;214043.69;128117.89;1985.5;12910.71;12322.37;5449.3
808;4312351;367991.4;470698.99;481639.06;436543.03;46922.64;104265.89;109406.36;120277.74
