,month,region_id,unemployment
0,144.0,13,12.2
1,147.0,13,11.0
2,150.0,13,11.7
3,153.0,13,10.3
4,156.0,13,12.7
5,159.0,13,11.8
6,162.0,13,9.8
7,165.0,13,8.7
8,168.0,13,9.6
9,171.0,13,9.8
10,174.0,13,7.8
11,177.0,13,8.5
12,180.0,13,10.8
13,183.0,13,11.2
14,186.0,13,11.2
15,189.0,13,10.2
16,192.0,13,15.7
17,195.0,13,16.2
18,198.0,13,15.9
19,201.0,13,17.9
20,204.0,13,20.3
0,144.0,15,9.8
1,147.0,15,12.3
2,150.0,15,11.3
3,153.0,15,10.5
4,156.0,15,11.2
5,159.0,15,10.6
6,162.0,15,11.8
7,165.0,15,9.6
8,168.0,15,11.0
9,171.0,15,11.1
10,174.0,15,11.8
11,177.0,15,11.5
12,180.0,15,13.4
13,183.0,15,12.9
14,186.0,15,11.9
15,189.0,15,11.9
16,192.0,15,13.6
17,195.0,15,14.0
18,198.0,15,15.6
19,201.0,15,13.9
20,204.0,15,15.4
0,144.0,16,13.1
1,147.0,16,14.9
2,150.0,16,13.7
3,153.0,16,10.9
4,156.0,16,11.1
5,159.0,16,14.0
6,162.0,16,10.5
7,165.0,16,9.3
8,168.0,16,11.8
9,171.0,16,9.8
10,174.0,16,10.8
11,177.0,16,9.8
12,180.0,16,10.3
13,183.0,16,11.2
14,186.0,16,13.3
15,189.0,16,13.9
16,192.0,16,15.6
17,195.0,16,17.3
18,198.0,16,16.0
19,201.0,16,16.8
20,204.0,16,18.4
0,144.0,21,12.5
1,147.0,21,15.7
2,150.0,21,14.2
3,153.0,21,12.5
4,156.0,21,13.4
5,159.0,21,14.2
6,162.0,21,11.0
7,165.0,21,6.8
8,168.0,21,8.9
9,171.0,21,10.1
10,174.0,21,9.5
11,177.0,21,10.9
12,180.0,21,13.1
13,183.0,21,13.5
14,186.0,21,14.0
15,189.0,21,13.3
16,192.0,21,16.5
17,195.0,21,16.6
18,198.0,21,16.1
19,201.0,21,17.2
20,204.0,21,18.2
0,144.0,22,9.5
1,147.0,22,9.0
2,150.0,22,8.0
3,153.0,22,8.8
4,156.0,22,10.5
5,159.0,22,9.7
6,162.0,22,9.4
7,165.0,22,9.1
8,168.0,22,9.0
9,171.0,22,8.5
10,174.0,22,7.6
11,177.0,22,7.1
12,180.0,22,10.4
13,183.0,22,10.3
14,186.0,22,8.7
15,189.0,22,7.7
16,192.0,22,9.3
17,195.0,22,10.2
18,198.0,22,8.4
19,201.0,22,10.3
20,204.0,22,13.4
0,144.0,23,8.1
1,147.0,23,9.0
2,150.0,23,9.6
3,153.0,23,8.4
4,156.0,23,8.5
5,159.0,23,8.5
6,162.0,23,7.3
7,165.0,23,7.3
8,168.0,23,8.2
9,171.0,23,7.6
10,174.0,23,7.2
11,177.0,23,6.5
12,180.0,23,7.8
13,183.0,23,8.8
14,186.0,23,9.6
15,189.0,23,9.2
16,192.0,23,11.5
17,195.0,23,11.8
18,198.0,23,14.2
19,201.0,23,12.1
20,204.0,23,14.0
0,144.0,24,11.6
1,147.0,24,11.7
2,150.0,24,11.4
3,153.0,24,11.9
4,156.0,24,10.8
5,159.0,24,11.1
6,162.0,24,9.8
7,165.0,24,9.7
8,168.0,24,11.9
9,171.0,24,11.2
10,174.0,24,11.4
11,177.0,24,12.2
12,180.0,24,12.1
13,183.0,24,12.8
14,186.0,24,13.7
15,189.0,24,11.7
16,192.0,24,14.1
17,195.0,24,14.8
18,198.0,24,15.2
19,201.0,24,15.2
20,204.0,24,16.0
0,144.0,25,10.8
1,147.0,25,10.4
2,150.0,25,9.0
3,153.0,25,10.3
4,156.0,25,10.6
5,159.0,25,10.0
6,162.0,25,9.8
7,165.0,25,9.7
8,168.0,25,10.1
9,171.0,25,10.4
10,174.0,25,10.6
11,177.0,25,8.8
12,180.0,25,10.0
13,183.0,25,11.6
14,186.0,25,12.7
15,189.0,25,10.6
16,192.0,25,10.2
17,195.0,25,10.9
18,198.0,25,14.4
19,201.0,25,12.9
20,204.0,25,13.5
0,144.0,26,11.9
1,147.0,26,10.4
2,150.0,26,12.2
3,153.0,26,11.7
4,156.0,26,12.3
5,159.0,26,11.6
6,162.0,26,9.9
7,165.0,26,8.3
8,168.0,26,9.6
9,171.0,26,9.4
10,174.0,26,9.4
11,177.0,26,9.0
12,180.0,26,7.7
13,183.0,26,7.1
14,186.0,26,10.2
15,189.0,26,11.8
16,192.0,26,13.4
17,195.0,26,14.6
18,198.0,26,16.5
19,201.0,26,15.8
20,204.0,26,18.0
0,144.0,27,13.1
1,147.0,27,11.4
2,150.0,27,12.8
3,153.0,27,12.5
4,156.0,27,13.2
5,159.0,27,12.6
6,162.0,27,12.2
7,165.0,27,12.2
8,168.0,27,12.5
9,171.0,27,12.1
10,174.0,27,12.2
11,177.0,27,11.6
12,180.0,27,12.6
13,183.0,27,12.2
14,186.0,27,12.0
15,189.0,27,10.7
16,192.0,27,13.8
17,195.0,27,14.3
18,198.0,27,14.4
19,201.0,27,15.6
20,204.0,27,17.4
0,144.0,28,12.1
1,147.0,28,13.1
2,150.0,28,11.9
3,153.0,28,11.1
