,month,region_id,unemployment
4,156.0,28,13.4
5,159.0,28,11.8
6,162.0,28,11.8
7,165.0,28,11.0
8,168.0,28,10.2
9,171.0,28,11.0
10,174.0,28,10.2
11,177.0,28,11.6
12,180.0,28,10.9
13,183.0,28,11.1
14,186.0,28,10.5
15,189.0,28,11.6
16,192.0,28,13.3
17,195.0,28,16.5
18,198.0,28,18.8
19,201.0,28,19.5
20,204.0,28,19.3
0,144.0,29,11.7
1,147.0,29,12.3
2,150.0,29,10.8
3,153.0,29,10.6
4,156.0,29,14.6
5,159.0,29,13.5
6,162.0,29,12.6
7,165.0,29,11.7
8,168.0,29,15.4
9,171.0,29,14.6
10,174.0,29,13.5
11,177.0,29,12.5
12,180.0,29,14.8
13,183.0,29,16.8
14,186.0,29,17.0
15,189.0,29,14.6
16,192.0,29,18.4
17,195.0,29,19.2
18,198.0,29,19.5
19,201.0,29,19.1
20,204.0,29,18.3
0,144.0,31,7.7
1,147.0,31,7.5
2,150.0,31,7.1
3,153.0,31,6.6
4,156.0,31,7.3
5,159.0,31,7.7
6,162.0,31,7.4
7,165.0,31,6.4
8,168.0,31,7.4
9,171.0,31,8.5
10,174.0,31,8.1
11,177.0,31,6.6
12,180.0,31,9.7
13,183.0,31,9.2
14,186.0,31,9.7
15,189.0,31,10.2
16,192.0,31,13.1
17,195.0,31,13.9
18,198.0,31,14.4
19,201.0,31,13.6
20,204.0,31,15.8
0,144.0,32,9.4
1,147.0,32,9.0
2,150.0,32,8.8
3,153.0,32,8.3
4,156.0,32,9.1
5,159.0,32,9.9
6,162.0,32,9.0
7,165.0,32,7.5
8,168.0,32,8.2
9,171.0,32,9.4
10,174.0,32,8.0
11,177.0,32,8.2
12,180.0,32,9.3
13,183.0,32,9.0
14,186.0,32,10.7
15,189.0,32,12.3
16,192.0,32,14.2
17,195.0,32,14.7
18,198.0,32,16.0
19,201.0,32,15.8
20,204.0,32,16.4
0,144.0,33,8.6
1,147.0,33,7.1
2,150.0,33,7.4
3,153.0,33,6.8
4,156.0,33,7.1
5,159.0,33,6.3
6,162.0,33,6.6
7,165.0,33,6.0
8,168.0,33,6.6
9,171.0,33,6.3
10,174.0,33,6.2
11,177.0,33,5.6
12,180.0,33,6.0
13,183.0,33,6.5
14,186.0,33,7.6
15,189.0,33,7.7
16,192.0,33,9.2
17,195.0,33,10.7
18,198.0,33,11.6
19,201.0,33,13.2
20,204.0,33,14.3
0,144.0,35,7.9
1,147.0,35,8.2
2,150.0,35,7.5
3,153.0,35,7.0
4,156.0,35,8.1
5,159.0,35,7.8
6,162.0,35,8.2
7,165.0,35,7.2
8,168.0,35,7.4
9,171.0,35,7.8
10,174.0,35,7.7
11,177.0,35,7.0
12,180.0,35,8.7
13,183.0,35,9.3
14,186.0,35,9.7
15,189.0,35,10.6
16,192.0,35,12.6
17,195.0,35,12.7
18,198.0,35,14.0
19,201.0,35,13.5
20,204.0,35,15.2
0,144.0,41,5.6
1,147.0,41,6.0
2,150.0,41,5.2
3,153.0,41,4.6
4,156.0,41,5.1
5,159.0,41,4.2
6,162.0,41,4.1
7,165.0,41,4.1
8,168.0,41,3.5
9,171.0,41,3.8
10,174.0,41,3.9
11,177.0,41,3.8
12,180.0,41,5.3
13,183.0,41,5.9
14,186.0,41,5.7
15,189.0,41,5.2
16,192.0,41,9.0
17,195.0,41,8.9
18,198.0,41,9.4
19,201.0,41,8.9
20,204.0,41,11.2
0,144.0,42,3.2
1,147.0,42,4.4
2,150.0,42,3.4
3,153.0,42,2.1
4,156.0,42,4.1
5,159.0,42,4.3
6,162.0,42,2.4
7,165.0,42,3.5
8,168.0,42,4.7
9,171.0,42,4.1
10,174.0,42,4.4
11,177.0,42,4.0
12,180.0,42,4.8
13,183.0,42,5.1
14,186.0,42,4.9
15,189.0,42,5.4
16,192.0,42,6.3
17,195.0,42,7.3
18,198.0,42,7.0
19,201.0,42,6.1
20,204.0,42,7.4
0,144.0,43,5.6
1,147.0,43,5.4
2,150.0,43,5.1
3,153.0,43,4.3
4,156.0,43,5.4
5,159.0,43,5.3
6,162.0,43,5.7
7,165.0,43,5.2
8,168.0,43,6.0
9,171.0,43,5.3
10,174.0,43,6.0
11,177.0,43,4.7
12,180.0,43,6.3
13,183.0,43,6.7
14,186.0,43,7.3
15,189.0,43,7.0
16,192.0,43,8.3
17,195.0,43,10.0
18,198.0,43,10.4
19,201.0,43,9.9
20,204.0,43,10.9
0,144.0,51,5.9
1,147.0,51,5.4
2,150.0,51,6.4
3,153.0,51,4.9
4,156.0,51,6.6
5,159.0,51,5.1
6,162.0,51,4.6
7,165.0,51,4.7
8,168.0,51,5.6
9,171.0,51,5.2
10,174.0,51,4.4
11,177.0,51,5.4
12,180.0,51,8.0
13,183.0,51,7.7
14,186.0,51,8.2
15,189.0,51,6.8
16,192.0,51,10.8
17,195.0,51,12.9
18,198.0,51,10.7
19,201.0,51,9.9
20,204.0,51,10.6
0,144.0,52,5.2
1,147.0,52,3.9
2,150.0,52,4.5
3,153.0,52,4.2
4,156.0,52,6.0
5,159.0,52,4.5
6,162.0,52,5.0
7,165.0,52,3.1
8,168.0,52,4.8
9,171.0,52,3.6
10,174.0,52,3.9
11,177.0,52,3.7
12,180.0,52,5.4
13,183.0,52,6.0
14,186.0,52,7.1
15,189.0,52,6.4
16,192.0,52,8.8
17,195.0,52,9.0
18,198.0,52,9.7
19,201.0,52,10.5
20,204.0,52,10.9
