;region_id;month;gdp_region;fpm;idhm;pop;unemployment;itbi;treasure;iptu
31742;1501303;71;1608708000.0;9063923.36;;;;511163.18;111925348.31;840857.35
37495;1501303;83;2043291000.0;10027146.7;;;;49387.19;127397794.6;2458552.05
42754;1501303;95;2288793000.0;11473573.87;;;;70655.4;143104930.9;3360702.22
45436;1501303;107;2313664000.0;15115568.81;;;;220077.34;175986809.5;3403169.53
51932;1501303;119;2076760000.0;14065847.94;;;;;;
60955;1501303;131;2227150000.0;16075784.62;0.662;99859.0;;380008.56;181874707.37;4163553.97
62867;1501303;143;2460398000.0;19361995.25;;;;490945.78;199999124.09;4904780.57
70642;1501303;155;2006449000.0;21041906.56;;;10.5;2654233.04;240425022.5;1505783.59
73605;1501303;167;2658972000.0;22442230.7;;;9.6;;37769070.4;4803060.51
83017;1501303;179;3890723000.0;24210708.72;;;11.5;;51260518.47;11917013.19
87417;1501303;191;;25585636.86;;;11.9;;64934270.87;6024883.2
89928;1501303;203;;5210096.06;;118537.0;13.9;;78888726.63;12222563.28
3796;1501402;11;;72122354.2;0.644;1280361.0;;2876428.0;451749287.0;17840301.0
9068;1501402;23;;84897074.91;;;;2918143.11;544369651.12;19170399.22
15725;1501402;35;8004081000.0;105024044.48;;;;2805735.82;630532514.75;20654223.84
21332;1501402;47;9106087000.0;109169162.59;;;;3374928.37;719442325.17;25054850.71
26812;1501402;59;11024247000.0;120348811.72;;;;5201236.22;844649523.0;27575948.78
31743;1501402;71;11514766000.0;154738365.81;;;;5296798.0;919507567.0;30285156.0
37496;1501402;83;13137025000.0;169962630.49;;;;5954755.0;1087586775.0;30773551.0
42753;1501402;95;14368248000.0;198274869.17;;;;9961461.0;1216496408.0;33605643.0
45422;1501402;107;15803597000.0;245092069.35;;;;9658035.0;1388465697.0;36518656.0
51934;1501402;119;17294868000.0;228614348.91;;;;12772373.0;1466479781.0;40289591.0
61039;1501402;131;18801039000.0;250414741.47;0.746;1393399.0;;20291667.0;1718075575.0;47629279.0
62888;1501402;143;21426847000.0;311519777.25;;;;21768585.0;1887495095.0;52074446.0
96565;1501402;146;;;;;10.5;;;
96566;1501402;149;;;;;12.6;;;
96567;1501402;152;;;;;11.7;;;
70589;1501402;155;26362015000.0;322040265.63;;;10.5;30869260.0;2073336913.0;58148999.0
96568;1501402;158;;;;;11.4;;;
96569;1501402;161;;;;;10.4;;;
96570;1501402;164;;;;;12.0;;;
73623;1501402;167;27139286000.0;344939764.23;;;9.6;;495376666.6;64442428.89
96571;1501402;170;;;;;11.5;;;
96572;1501402;173;;;;;11.2;;;
96573;1501402;176;;;;;12.4;;;
83038;1501402;179;28706165000.0;294353553.57;;;11.5;;555904760.0;71464836.0
