cod;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
2111748;11663;13757;17177;16782;19615;25180;27813;32770;34141;38673;42112;46222;62738
2111763;29325;42051;47473;49072;54701;62159;77668;82731;88131;96026;99978;113834;125953
2111789;7795;8607;9111;14465;14648;20419;26791;30330;29262;33455;35208;40994;52404
2111805;27610;32493;36284;35132;39044;45037;49560;54870;61374;74757;86578;91022;103618
2111904;16833;22623;22539;19953;20031;19343;28369;30857;32483;38336;43516;51498;61213
2111953;8419;11173;10133;9662;10258;9885;13522;15384;16534;19417;21429;25215;31219
2112001;94166;240048;198593;228573;145862;156707;426760;387188;411130;529461;644581;721635;800426
2112100;28997;35663;39299;40723;46159;49386;62452;67467;69646;84427;89242;103234;118261
2112209;277572;335667;392291;473843;520364;561401;644466;791427;977153;989297;1069980;1249941;1440381
2112233;40858;52588;44183;46367;52951;59370;71781;80328;83853;93696;102445;118577;151980
2112274;7409;10268;11622;11820;15605;14333;18113;26868;22282;23757;26731;29728;35707
2112308;58751;64732;73827;81685;94375;93383;117916;141359;141342;177433;172944;213052;245964
2112407;59548;71715;80826;84560;93185;103823;136873;132150;150954;182150;191239;244136;266936
2112456;27004;33258;36779;41494;42405;52656;63374;70971;73777;94535;96808;110074;134970
2112506;49080;55408;67803;73743;88928;105707;122722;146265;155117;196336;213632;254590;302317
2112605;22676;30715;34943;37062;45859;52619;61185;74462;76115;102375;96708;112639;148526
2112704;47755;57350;61436;76180;89595;100541;114289;139138;160640;176135;194752;222025;273352
2112803;71910;83196;87003;99154;116400;120829;153715;174086;184402;204787;239596;281491;332873
2112852;13395;17421;22971;30152;26949;31887;35751;36178;41433;52245;54608;64973;88755
2112902;44114;50589;58662;70909;77334;83964;103016;110260;110723;145108;157082;175928;206770
2113009;56799;63992;75285;81358;92375;88636;102568;133135;120494;143708;153154;176572;191503
2114007;76647;94565;96929;114164;127433;143991;176153;194921;224586;278765;298244;342145;381977
2200053;6504;8328;10009;9868;12679;14430;17451;21675;23565;28459;29012;31537;36692
2200103;5449;7737;8500;8634;10238;11306;13240;14606;15566;19879;18766;21778;24388
2200202;24309;25185;29415;38299;46011;51514;63595;65665;76825;85316;105585;122425;146295
2200251;8011;9161;10558;11936;14603;17837;21190;23986;24824;37841;29613;34261;38989
2200277;5853;8328;8275;9131;11246;12098;19545;18342;19687;22880;22935;24658;29511
2200301;14271;17762;19589;21591;23968;31613;33826;39498;45904;49867;51922;57380;68974
2200400;59585;70158;73671;86984;101179;105967;124222;135456;159702;178250;196318;236720;285694
2200459;6845;12442;15452;13114;14742;17543;29282;31976;23227;39289;49229;38737;55058
2200509;23673;26452;31452;33280;44672;48952;55484;63997;68129;80915;84564;91994;111923
2200608;9313;11662;12696;13718;16368;16855;20161;23719;25363;28558;30907;40343;45125
2200707;8319;10210;10896;13309;13643;17571;20385;24795;29595;36943;38368;46239;56601
2200806;23056;26055;27473;27566;23062;33778;41300;33657;80206;100834;127184;80090;75812
2200905;8299;10197;12182;12319;15341;16494;19629;23307;23125;27362;27391;31536;36289
2200954;;;;5870;6800;6537;8497;9385;9221;10529;11283;12230;14177
2201002;5308;6785;7699;8777;9482;10983;13713;15855;16801;19818;20649;22745;25943
2201051;7890;7544;10171;13795;18356;16315;20896;22239;22660;26904;28502;33863;36658
2201101;10782;11826;14964;16851;22021;23805;29627;31998;36300;41427;43091;49835;57387
2201150;19887;43929;71255;75912;68005;88123;171326;225113;148451;272800;364796;299600;481692
2201176;5809;7008;6645;7028;8569;9642;11811;12657;15097;17193;18870;21351;24949
2201200;59806;66337;82016;91269;101977;114052;129636;151967;170486;203953;217434;254311;284530
2201309;4701;5616;6097;6212;7184;8960;9174;11399;10143;13591;15259;17253;19557
2201408;9871;11583;13402;13996;17256;18368;27893;25771;30038;35505;40676;43986;49576
2201507;29206;35545;41547;42630;52930;60179;69926;81015;89628;101965;110816;127212;141222
2201556;4550;4979;5486;5958;6857;8909;10609;13036;14416;18874;18991;21344;26327
2201572;3550;4391;4353;5646;6892;7419;9527;9434;10777;13013;14217;16756;19762
2201606;11285;13924;14616;16129;18270;22317;25306;28374;32101;36623;40516;43615;53280
2201705;7697;10029;10936;12180;13482;16374;18871;24430;27055;33135;33904;34303;42119
2201739;8847;11169;12501;14343;16497;17967;18387;20737;21553;26237;26867;28725;32582
2201770;6968;8384;9619;9924;11288;12915;15022;18419;18944;21670;24239;32431;39085
2201804;6836;7858;9278;9838;11722;12434;15078;15874;17458;20377;21877;23683;28446
2201903;43231;82877;113610;115014;113514;117843;181321;212873;204103;294018;387474;333702;457869
2201919;7000;9160;9340;10289;12547;14898;16680;17835;19482;24094;25199;28561;34134
2201929;5214;6936;7960;9477;10003;11509;13339;15726;17261;20474;21727;24777;28922
2201945;6058;6625;6742;7641;9532;12689;14478;17322;18929;21052;23439;29373;31917
2201960;7756;10489;10024;11254;13359;16344;18816;20759;23930;28342;29242;35402;41501
2201988;4032;5540;5022;8017;10000;9336;12701;13163;14522;16805;19013;22246;25121
2202000;28733;34741;42473;40398;44508;56751;67335;75822;88329;91959;96115;112156;125875
2202026;8357;10450;10868;12997;15191;17566;20488;23440;25981;28565;31194;34188;39670
2202059;10457;12225;14458;14465;18084;21415;24076;29346;31065;35217;36917;41307;47728
2202075;3898;5024;5610;5811;6204;7207;8604;9885;11396;13749;13999;16796;20242
2202083;10943;14497;14972;16995;19161;24116;27342;29120;32872;37692;43657;53663;62050
2202091;6680;8350;10005;9477;12428;13332;16400;19056;19711;22144;24384;24481;39356
2202109;6818;8615;9099;9532;12146;13957;15814;20812;20338;25070;24570;27889;33152
2202117;5547;5921;6437;7109;8833;10840;13140;14417;15745;18302;19670;23224;27170
2202133;7492;9298;8580;11100;12755;15228;17530;18844;20565;26749;25824;30861;37633
2202174;7513;8892;9620;9472;10974;14270;16852;18328;20742;23022;25702;29435;33043
2202208;76873;86586;104479;126592;159691;170407;185457;229859;265506;296375;327305;367889;443011
2202251;5337;7081;7119;9441;9442;10223;11919;15640;15324;18599;18539;22399;25069
2202307;29680;36460;41882;52242;61248;64766;73757;82013;98146;114736;122712;136043;160344
2202406;11813;15454;15430;15839;19344;21746;26259;31813;33881;38605;42335;50235;59612
2202455;4376;4865;4774;7210;7984;9669;11058;12664;15108;17184;18370;21382;23254
2202505;12982;16444;15726;17355;18252;22504;27413;33063;34402;40892;42612;53031;60672
2202539;6911;8211;9508;9987;11394;13836;15764;18141;20639;24145;26272;31167;35691
2202554;5164;5901;7163;8339;9614;11009;13838;14563;16653;20092;22708;23938;25925
2202604;27069;31121;38668;44245;50668;57283;68481;69434;81951;89784;97967;110671;127313
2202653;7468;9204;10733;10830;12068;14818;16735;19642;21915;24828;26713;30391;33134
2202703;30576;37212;40396;45539;54183;62844;76378;74286;87457;99130;110466;131491;154584
2202711;5287;6618;7711;8844;10080;11268;12941;14613;17126;19364;21191;26177;29248
2202729;6151;7602;7839;9289;10017;11821;13591;15497;18876;22393;24430;26592;31263
2202737;3943;4696;5239;5800;6626;8643;10170;12240;13627;15642;18122;20697;23877
2202752;7205;8952;10263;11607;15423;15464;19129;21635;25686;29353;32323;34431;39947
2202778;8773;10433;12075;13535;15414;18067;21265;23022;26680;29531;31162;36346;42201
2202802;6837;7925;8615;8846;10209;10488;12683;14170;15429;19249;22855;25084;29972
2202851;4729;5629;6044;7814;9076;10568;10974;13923;16747;18470;16614;22997;25393
2202901;44679;49122;58599;68241;85731;90092;98397;119321;161700;178557;178550;202936;244524
2203008;8469;11412;13299;13493;15262;17939;21763;26564;26881;31098;32570;39176;40725
2203107;12565;15476;17578;21174;22464;24778;28813;34696;40256;47323;52159;65330;76036
2203206;16282;17091;20854;22544;25637;31559;34197;39969;43615;59275;79179;70113;76438
2203230;4901;12869;22815;29936;26743;21822;45191;47157;34897;65874;82953;60874;125941
2203255;5431;6139;6993;7245;7606;8883;9612;10766;11797;14074;14458;16287;21833
2203271;4419;5403;6505;6647;7721;10469;11959;13655;14615;18088;19004;22438;24370
2203305;14000;17668;20331;22963;25202;27878;30067;33845;40503;50894;68103;84313;125748
2203354;6862;8532;10128;11568;13283;14932;16919;20242;22408;25498;27997;29048;32651
2203404;10553;12109;14335;15804;20609;22005;22386;31035;33710;39858;42368;42034;50179
2203420;5297;6754;6998;8279;10065;11747;12262;13512;14747;16924;17037;20263;24920
2203453;8675;10319;11302;13401;14753;17921;21067;24911;27128;30872;31564;36986;45525
2203503;22523;24792;30259;31336;34293;40148;56012;52767;59202;66062;72794;82379;96798
2203602;7471;8643;9096;10441;11524;13062;17478;18540;20643;23739;24586;28924;34724
2203701;53614;63843;71700;83073;102449;101211;123995;137614;159346;179366;203313;229214;267650
2203750;4909;5891;6655;7516;8393;10476;12025;13506;14915;17527;17317;21320;24376
2203800;7292;10072;8465;10394;9567;11446;13048;15909;17176;18936;20222;22511;27588
2203859;3565;4175;4489;4963;5939;6971;7935;9025;9427;11548;11669;14464;17467
2203909;153009;167067;209724;235586;296518;326887;375480;420019;550100;641912;704739;786120;911051
2204006;7281;8213;9323;9031;11101;13200;15216;17041;18644;24906;24395;24443;29865
2204105;6118;7968;8545;9959;10501;12009;13751;17657;16077;19180;19389;22799;28257
2204154;3039;4212;4402;5344;6576;6944;9260;9294;10705;12258;12783;13395;16691
2204204;9443;13535;15041;15556;17685;22180;23303;28109;32539;39179;37959;42063;49899
2204303;73169;84532;73847;87298;111927;114588;144127;163472;184980;201198;201912;184416;227805
2204352;6635;7983;8716;8921;11326;13715;18112;19038;21937;24905;28736;31838;37353
2204402;18656;25678;37053;39205;33691;41902;76702;82566;73093;113137;138339;95990;166869
2204501;41846;34573;101199;74857;85177;61921;58528;114977;198106;201022;222057;230768;233769
2204550;4156;5628;6085;7507;8856;10633;11807;13583;14372;17996;17763;21727;25091
2204600;4777;6488;7943;6888;8052;9244;11841;14322;14271;16542;16340;19456;23369
2204659;12082;14096;16244;16829;19271;23160;29712;32660;35421;38715;42704;50724;59673
2204709;17932;22651;25771;27288;33513;41236;43935;54122;53393;65506;68626;81478;95141
2204808;11090;13502;15168;17696;20478;23538;27663;31297;34505;40625;43344;47743;57198
2204907;9457;11525;11673;13375;15463;17407;21379;24766;26550;32388;33813;37696;43637
2205003;14684;17628;16217;19883;23909;26179;30556;37904;40951;47901;47282;55102;63005
2205102;17707;23994;24234;27485;27502;30723;36877;46692;51693;51542;59651;66233;79594
2205151;7971;9288;10139;10575;13018;14264;17453;21308;23319;27332;28551;30587;35002
2205201;22049;27021;28989;33412;39816;42507;54277;63220;71408;89820;92675;113801;124116
2205250;5488;6436;7606;6501;8639;11113;12494;14187;14820;17531;17689;19549;22783
2205276;6911;10669;8335;10148;12288;12889;14569;19430;21901;23662;25333;27315;31084
2205300;7287;7719;10240;9193;11170;11375;15818;15972;19841;21420;29017;29202;36975
2205359;4235;5251;6261;7104;7481;8576;10164;11626;13464;15131;15297;14860;18650
2205409;15222;18389;19888;20249;24281;28307;37740;39038;42170;49389;52610;60570;71759
2205458;5440;6740;7817;8178;9757;12090;13547;15188;16007;19000;20182;22767;26338
2205508;58240;70706;77062;89149;104379;116488;130705;144668;166239;189240;201832;235028;258757
2205516;6122;6410;8132;8731;12087;16686;19324;17854;22211;24002;24472;26274;32308
2205524;5807;7391;8380;8831;10087;12141;15616;17776;19226;22767;23505;26866;30731
2205532;5806;7441;6882;9493;9855;11477;13582;16673;17234;21096;21855;23283;27453
2205540;3235;4099;4648;4513;5938;6778;8209;9356;9431;10754;11838;12389;15956
2205557;8073;9881;12048;13550;15219;18519;20174;23862;25847;29935;32238;35808;39980
2205565;6286;7053;7881;9134;10057;11800;13479;15191;16260;18814;20409;23759;26027
2205573;7020;8536;9030;9708;11972;13846;15216;18333;21164;23113;26704;29155;33067
2205581;16902;13474;13571;11505;14638;20099;24665;23059;55497;56571;39940;34523;43766
2205599;6593;9259;8570;8652;10368;12367;16508;17921;18173;23526;21787;23989;27612
2205607;8535;10227;11620;12667;12961;13286;28248;32549;32097;40216;46503;43976;58756
2205706;41658;49730;54572;59043;67751;80144;93016;99638;116538;135137;154001;186818;218664
2205805;33264;37537;40395;46673;52543;64117;73712;84105;112021;115949;115652;136672;163135
2205854;9199;11823;13218;13155;15657;18934;22040;24279;26052;27939;29081;35684;39091
2205904;7373;12576;12419;16021;17314;14341;21806;28661;23779;32167;27745;30603;32907
2205953;7331;8614;9778;11678;14218;17990;18892;23899;28648;33727;36267;40119;47608
2206001;5799;6905;8091;7937;9624;10229;13637;15071;16919;20054;20639;23623;27490
2206050;6799;8004;8625;9561;11240;12790;16212;16852;18503;20740;21982;25796;29003
2206100;11691;13041;14463;15310;20649;23441;24350;28021;33994;36856;41245;51353;61688
2206209;38574;39927;50401;53171;63569;79788;84512;93459;108685;121273;134759;151673;166618
2206308;3643;4364;4598;4682;5552;5278;5595;6435;7371;8087;8976;9633;14261
2206357;7732;9272;9804;10647;13230;14323;16029;18427;20227;24134;26209;29981;34576
2206407;14383;16119;20459;20624;30268;34819;39426;47837;64964;71308;65756;67048;85145
2206506;8795;11359;11948;13560;15436;17122;20914;23025;26464;33899;31704;35160;40897
2206605;13825;21813;30181;32397;32503;40111;57992;61392;57913;76501;96532;78149;98841
2206654;6008;6960;7490;7909;9060;11161;11995;14448;16107;19956;19624;21946;24409
2206670;8216;9906;11067;11217;13360;15178;17238;20052;21032;24897;26349;30008;34702
2206696;8718;10719;12324;13448;13007;17895;20928;23763;28192;31810;35757;42602;46991
2206704;10289;13196;12965;13944;16220;16456;17584;22261;24063;27570;29408;33228;38079
2206720;;;;;;;;20180;28844;33514;36781;42703;57173
2206753;4686;5786;6349;7093;8208;9987;10867;13430;14892;17315;15372;21314;25477
2206803;8527;10192;11391;11363;13204;17339;20850;24301;29376;34221;37996;40904;48618
2206902;8258;10148;10620;11281;12554;13754;16270;19231;21561;26110;26302;28044;34924
2206951;4446;6213;5909;6232;7006;8413;9608;11001;12972;15272;15802;16594;19072
2207009;62163;66817;75482;95199;123693;119703;128261;156666;192402;222894;230762;255952;307292
2207108;3644;4754;5353;3897;4725;5795;9406;10048;10642;11897;11903;12998;14608
2207207;9372;10859;12280;15427;16474;18476;23854;24215;25949;31802;34114;37115;43699
2207306;6726;7679;7270;8128;9106;10678;12659;14144;16807;20833;21627;23584;28945
2207355;4058;5250;5179;6458;6496;9005;10817;11786;12573;14121;15740;17441;20423
2207405;7701;12018;16024;15269;15643;19053;34781;40761;29763;48779;57962;38602;54765
2207504;16571;20186;25358;24831;29757;33699;37100;43781;46126;56782;56463;64412;78061
2207553;6242;7926;8478;8293;9711;10993;12881;14289;14055;17308;17584;19448;21728
2207603;12249;15793;17757;20218;22049;26274;28736;35095;41433;49533;52761;58331;69131
2207702;314621;352662;409521;480061;616376;609142;682668;792619;967408;1094075;1244845;1430208;1663949
2207751;5944;7360;7900;7870;8892;10478;13723;13718;17144;21483;23006;27264;33295
2207777;7271;8259;9689;10223;14160;14431;17449;19441;20431;25132;25979;29999;34529
2207793;4574;5717;6393;6938;7914;9971;11543;12208;11581;13443;15493;16051;19349
2207801;28795;30406;36906;38973;50212;50737;67233;74425;167134;158687;127258;119542;146155
2207850;5345;7355;7655;8541;9291;10185;11338;12981;13463;16403;15977;17752;20590
2207900;43553;51448;57385;61113;79130;85354;98362;116532;139842;160222;176673;188179;231982
2207934;3794;4490;4347;4815;5644;6766;7982;9032;10328;11935;13417;14491;18511
2207959;4799;6595;7250;8491;9071;9410;12549;14072;14778;17470;18574;25379;33146
2208007;198935;210603;280518;333580;443677;422839;480281;557440;682828;788259;886083;1039698;1214900
2208106;16286;19926;22250;23969;28064;29161;36092;37371;40750;48559;48087;55447;63044
2208205;20981;26986;31399;33037;42145;47979;62396;62293;71833;91301;83801;93600;109318
2208304;38839;46550;53058;58437;69930;77383;83779;95182;116219;132290;145930;176037;208921
2208403;100589;108461;132000;147752;181879;194596;223041;260798;322809;358822;404401;447818;535169
2208502;13589;15645;17152;16776;20388;23924;27078;31556;36783;41918;46627;57464;66180
2208551;3787;4777;5035;6310;7962;8906;13546;14475;12153;17396;19436;20501;22758
2208601;3431;4559;5296;5482;6153;7966;8882;10608;11675;12818;13442;15802;18313
2208650;18824;15397;16292;17609;20671;26942;28979;28433;30538;36139;38696;44304;48442
2208700;11300;13467;15896;17222;19601;21250;26849;31773;31793;38844;43234;47888;54703
2208809;22062;26150;29242;31516;36397;41493;51273;62038;66193;79105;91932;99859;117254
2208858;7377;9061;9695;9258;10127;12730;14746;16415;16618;19486;21299;24136;27552
2208874;4878;6515;7115;7772;8725;10141;11301;12871;13333;16315;16080;18945;21918
2208908;29826;60872;66081;66296;57375;68789;132817;120358;81673;135087;190295;187629;276300
2209005;8289;11318;11681;13452;13349;15047;18587;20581;23613;24937;27258;31970;41132
2209104;7521;8736;9605;10720;11898;13096;15729;18801;21176;26533;28626;34054;39167
2209153;7128;9099;8623;8472;8738;10000;10789;12448;14783;17816;18087;21123;33480
2209203;12317;24983;35476;43497;37294;45018;94526;89475;71648;104609;117758;97069;157786
2209302;6718;9125;9388;10840;10757;12054;14964;18227;19641;25813;26790;30196;35138
2209351;5419;6311;7361;7826;9021;10123;11996;13589;16208;18907;18703;20549;24867
2209377;6186;7974;8513;8862;10673;11661;13865;15724;16897;20164;22312;25063;30089
2209401;7112;9267;10554;14066;18119;16602;20139;21952;27079;33995;33166;38347;42300
2209450;2384;3270;3271;3472;3887;4440;4926;5750;7218;9466;9084;10303;11675
2209500;4575;5311;5612;6170;7113;8028;9386;11378;12502;15939;15932;18632;23088
2209559;4992;6021;6907;8358;8495;9741;10808;13734;13564;17671;16866;20167;22144
2209609;5420;6457;6858;6393;7229;8073;9476;10112;10984;12862;13000;16596;19817
2209658;4376;6092;7456;8226;9808;11784;13197;14732;17533;20227;23874;27484;32534
2209708;7790;8630;9877;10372;11464;12407;14875;18919;21607;27041;28411;35794;39794
2209757;3775;5250;6278;6206;6997;7483;9234;10726;12398;14331;16651;19785;23822
2209807;5726;6898;8405;8449;9550;10627;13193;15248;16826;19976;20439;22679;28452
2209856;5339;6821;7286;7893;10909;10682;12111;14235;15434;18897;19990;21180;25072
2209872;7101;8572;8945;9421;12706;14703;15176;16350;20830;23614;25606;28130;40155
2209906;9176;10835;11381;12472;15206;17902;20253;20971;22488;25281;27249;30255;35872
2209955;4848;7375;6959;7193;8491;10026;11573;13325;14906;17900;17395;19669;22767
2209971;6521;7941;8715;9719;11798;14517;15913;19915;21895;25448;27737;36868;36338
2210003;28693;30139;39120;48664;63940;62898;76159;77521;90372;102922;121717;144378;165605
2210052;7455;9756;11310;11140;14057;14575;16335;18122;20943;25578;28319;32130;38128
2210102;5603;7336;7202;8098;8941;10174;12305;14888;16170;18741;20057;21179;25499
2210201;8422;10797;11093;13430;16564;17760;21606;23404;24750;31903;29153;35240;39836
2210300;7385;8773;9650;11156;13725;14625;19836;18940;21407;25195;25988;28969;35060
2210359;5119;6158;6723;8016;8644;10383;12069;12905;14275;17031;18122;22027;26483
2210375;3020;3861;4004;4261;5455;5860;6560;7851;8559;10337;10854;11791;13933
2210383;2720;3203;3389;3579;4714;5682;6404;7355;8899;10323;11233;13188;15556
2210391;4118;5674;5420;6295;6878;8335;9608;11007;11144;13438;13173;15087;18022
2210409;23562;28588;30497;32288;37002;39355;50424;54165;58596;70301;77257;84649;97426
2210508;18420;23477;27416;26160;32278;34942;41055;44980;49763;56089;67176;74989;87972
2210607;58822;68674;70282;85676;102984;114998;124114;153108;173530;212507;234758;268778;319268
2210623;7195;8646;8886;9551;10972;11548;14349;18014;18664;21128;22644;25756;28658
2210631;7825;20041;26564;28465;29250;30947;43764;49461;71133;66735;79419;70573;89685
2210656;11231;13577;14347;15549;19076;21346;25241;28373;31721;36128;39608;42745;48281
2210706;15828;19273;22349;24538;28792;34402;40560;45369;51075;60295;67154;70485;81736
2210805;15738;17876;21667;25571;28823;34559;46899;48996;55840;66689;74103;92105;108054
2210904;5706;6497;7418;7217;8418;10480;11398;13644;14848;17886;19309;20944;22587
2210938;7084;8761;9849;10586;13852;17389;23563;23280;27950;30442;34653;37819;44947
2210953;4004;5280;5213;5693;6664;7612;8427;9917;10586;12158;11920;14144;17097
2210979;3442;3997;5416;4896;6332;6867;8897;10989;10708;13348;13263;16439;20509
2211001;3521169;4018895;4248470;4995762;6644581;6422132;7263144;8692782;10627694;12174255;13347531;14753990;17762266
2211100;73408;79037;88614;102194;114272;136133;156951;177540;207504;233006;252609;251621;276968
2211209;76185;180606;228349;238716;222950;226227;400186;491715;427632;566240;777648;663087;954285
2211308;37991;43314;51617;55895;70676;67587;80496;90069;101604;117208;128986;144804;175553
2211357;5271;6591;7046;8352;8867;9749;11309;14572;15465;18386;19178;22279;26025
2211407;6368;8183;10521;9062;10707;11731;12472;14608;17011;19334;19496;21376;25421
2211506;4233;5044;4764;5678;7097;8121;9444;11729;12027;14022;14733;16018;19207
2211605;4271;5163;6511;7662;9423;10052;10707;13342;14967;18895;18083;19746;23120
2211704;5102;6457;7357;7369;9320;10351;11963;15303;15323;18471;18467;21553;25093
2300101;14098;17657;16808;17153;22869;25383;30985;34757;36543;50943;43079;50468;64730
2300150;31452;32448;33397;33577;36982;42765;50859;56351;65662;78626;80292;102164;114173
2300200;101584;124068;146593;151979;171739;190070;225541;239320;327756;388168;415815;467824;517701
2300309;85309;94074;101418;103497;123962;127767;160679;170027;213402;257300;262793;287937;334588
2300408;18080;23473;23256;29550;37163;38449;50232;48215;51656;72017;67267;78557;93454
2300507;15089;17349;17539;21533;22937;26489;29317;32916;37015;45163;45214;47742;59839
2300606;9289;10409;11469;12431;15410;17005;20859;22710;23342;28775;33982;37585;47461
2300705;57635;35944;38299;40261;45855;55847;68922;77369;80559;86327;86036;105060;125646
2300754;96929;117176;130447;154484;165374;151945;191631;203450;240831;298074;288676;285779;358868
2300804;11425;13430;14399;16694;21001;20701;26524;26379;28053;33422;36463;41968;48528
2300903;17409;19824;21485;26531;30582;31683;38962;42272;49057;55136;56220;66228;79531
2301000;253877;272761;322330;344180;371462;408212;528899;615087;768348;877881;1087571;1548885;1601415
2301109;218042;257054;314128;328460;356955;366286;433185;472207;577081;709558;871921;990305;1082530
2301208;42888;47535;50677;56749;64130;67604;84135;93793;98749;118202;119216;138521;161537
2301257;16655;18525;19619;21276;25096;26012;33394;33554;35048;44552;43566;47808;57706
2301307;30101;39224;39441;46583;54970;59195;73651;82196;85919;99439;100588;121403;155208
2301406;27788;37429;40735;39869;51170;47805;59396;57495;68739;70954;70845;65219;82434
2301505;12708;14498;14949;17458;19318;20264;27325;26239;30506;35038;33532;35319;42179
2301604;33507;42933;41651;45162;57430;58517;76253;98667;86370;112069;113185;141881;177489
2301703;44918;58390;48296;55528;69281;65529;87216;96054;97152;130042;119568;137710;166844
2301802;8798;10945;11094;12655;15127;14155;18901;20187;22268;26539;26517;31240;37493
2301851;30985;41671;49200;55965;61723;69121;90156;82968;83348;106386;95090;108874;128062
2301901;152974;153272;167947;183931;220323;237118;298219;354358;464715;508696;590900;578694;716792
2301950;32965;37869;44009;47932;54394;56517;68675;74751;79705;94907;142380;111136;124664
2302008;42701;45046;42057;45160;60953;58577;83269;86129;94975;99156;105250;121567;141053
2302057;20954;26472;28907;34042;36515;42149;51555;53624;57700;66529;71780;78006;92090
2302107;68525;82242;95228;100430;117248;120013;137319;150184;196688;223883;219063;237707;333747
2302206;100828;125301;137688;155496;178174;188294;248523;271699;328009;419741;428009;499228;559931
2302305;39464;46996;49942;57048;65468;69121;83178;91637;105038;125427;132879;150927;167013
2302404;96824;113999;111059;122004;145725;146747;201124;191375;230697;275148;206318;285693;336382
2302503;86476;114158;104019;126149;147759;154764;183812;201456;246828;315626;307111;334378;536488
2302602;121862;154432;185335;199006;204821;232357;257645;278019;377211;399157;542984;450700;512840
2302701;49422;46709;57215;63716;74543;76450;93158;102335;121510;142526;148208;171344;199464
2302800;151865;166701;182103;199084;228607;236989;321382;301376;364415;431699;440712;458613;566200
2302909;25671;34175;33171;38577;48350;46163;58144;59423;69708;84911;78193;87922;111972
2303006;41010;36214;35122;34390;41896;43372;60223;59584;71756;83329;80672;82660;101617
2303105;27803;38807;35760;39303;45401;48583;58490;62550;68506;77109;78563;86581;99382
2303204;41408;51641;51675;51720;62799;64501;82488;93436;100203;110101;110841;130863;155791
2303303;26154;32253;34809;35490;40323;44143;52930;58150;67280;74999;69583;81832;107226
2303402;21481;25762;29397;34385;39827;39612;50434;56951;63877;80335;80918;89526;102358
2303501;240928;262871;345338;353426;308125;301473;393873;402209;477434;521580;580004;640554;773138
2303600;20361;23375;26817;30714;35209;36232;46135;48392;58323;65562;66068;77238;90483
2303659;16244;18541;17360;20320;27772;25846;36723;36093;44941;62925;49841;62428;77233
2303709;836958;973170;1113780;1232377;1532514;1751050;2102938;2301594;2842606;3283060;3853817;4750602;5513528
2303808;38038;47692;50460;54519;64685;65914;80659;92416;104132;117748;123380;133563;165574
2303907;16785;19876;22318;27311;29811;30700;39200;43639;47895;52678;58543;65653;73732
2303931;22023;23353;22615;26001;28150;30095;38168;43919;44039;54829;52844;58757;69830
2303956;35176;39225;43292;47036;52801;55968;64536;71661;94614;102721;94109;111909;128161
2304004;28731;34269;35553;48156;47440;50466;64111;72543;80538;87186;92051;105188;120256
2304103;151776;193228;209551;233677;281748;279728;309116;337990;379567;456132;441345;479661;617705
2304202;376323;428253;466405;504322;565309;606692;723083;817764;985410;1014068;1092835;1180605;1478136
2304236;24884;31168;34644;39333;45337;45879;61193;59920;68154;80077;75486;93684;100562
2304251;36500;40634;43453;51429;60762;62394;79797;83633;92645;104786;112940;124806;143414
2304269;15474;17861;18149;21750;24706;24377;34838;34792;35968;43431;39802;47443;57314
2304277;10504;12451;13389;14797;16551;18416;23461;25453;26419;29702;31184;35785;42905
2304285;441203;456736;586852;634461;713405;833211;1016933;1183720;1404071;1595088;1657810;2071769;2486552
2304301;32132;40526;39703;42531;52233;50783;63661;66439;75301;90282;92458;103446;197393
2304350;30887;36946;46181;57525;55229;61406;71528;80249;91466;101667;105708;115944;136809
2304400;13413450;15224896;17097518;19218898;21686209;24042584;27960812;32059070;37001831;41394561;45775429;49758763;56728828
2304459;41807;61601;57993;43854;44752;51347;61025;68575;74667;92245;100038;117447;130693
2304509;20860;26122;26828;30132;36585;37888;47301;53612;64828;75604;76708;104417;157838
2304608;9373;11557;12222;13008;15184;17536;23016;25230;28344;33334;33495;37793;43749
2304657;20925;24770;26843;29790;36518;37353;43196;48404;54293;57914;59906;64751;76886
2304707;61403;71813;79504;90711;107909;121254;148594;160284;185041;201240;200508;242140;284730
2304806;8100;9609;10196;11273;13346;14830;20175;20672;18993;21540;24435;24620;31347
2304905;14084;16999;17318;18750;21185;24652;28606;31135;38000;42029;44675;52723;64113
2304954;33316;36571;40612;45611;51111;58825;70363;77790;104479;113232;113369;135903;153817
2305001;68785;88141;98672;109143;131351;142143;177293;167716;208952;237684;233660;279721;317724
2305100;15769;19689;19952;22497;29972;25529;28683;32025;37854;43906;40677;44774;58582
2305209;32392;38074;37610;41025;53927;52617;66001;70978;80600;98399;96253;101944;114929
2305233;355097;396080;472936;589136;618227;717471;890906;1088360;1146485;1206916;1141813;1195454;1397774
2305266;25209;26523;24491;34519;36980;34589;45892;41140;43905;63355;52687;57737;71236
2305308;49171;60861;63943;67339;68779;78739;92830;101758;118604;133186;131469;172037;163116
2305332;17167;19632;18707;27060;29738;27194;38001;38172;42790;54340;51857;60583;76136
2305357;55367;71692;70482;85791;104707;106542;123970;123815;152508;168308;193159;220357;246600
2305407;105873;128118;138367;159605;188364;200236;231249;251373;302016;339135;373109;416179;492220
2305506;313965;357782;396687;431185;470144;522663;619658;645869;884474;970552;1087847;1180314;1424606
